epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,1999.71,1.36699,0.87374,1.38808,0.56575,0.57914,0.57913,0.28678,1.76335,1.05667,1.80404,0.000264199,0.000264199,0.000264199
63,2032.75,1.3805,0.87361,1.38216,0.63215,0.6163,0.61823,0.29272,1.82748,1.06246,1.88284,0.000257595,0.000257595,0.000257595
64,2066.6,1.37508,0.86796,1.3923,0.60775,0.63083,0.63365,0.29133,1.7891,1.05648,1.81939,0.000250992,0.000250992,0.000250992
65,2099.86,1.36304,0.85327,1.35941,0.69347,0.51609,0.57573,0.28128,1.77631,1.06201,1.80619,0.000244389,0.000244389,0.000244389
66,2132.95,1.35951,0.86674,1.3699,0.58768,0.59524,0.60267,0.2886,1.80248,1.07673,1.83779,0.000237785,0.000237785,0.000237785
67,2166.4,1.35015,0.8457,1.36298,0.59441,0.62086,0.60892,0.29499,1.78102,1.04956,1.8149,0.000231182,0.000231182,0.000231182
68,2199.81,1.35437,0.85877,1.3756,0.57825,0.5582,0.57852,0.28477,1.80095,1.07274,1.84873,0.000224579,0.000224579,0.000224579
69,2241.52,1.3382,0.83099,1.34854,0.66723,0.55004,0.56121,0.27068,1.8209,1.08148,1.8741,0.000217976,0.000217976,0.000217976
70,2277.45,1.33473,0.8323,1.35769,0.65052,0.57571,0.59003,0.28205,1.80915,1.07424,1.8551,0.000211372,0.000211372,0.000211372
71,2309.62,1.33288,0.839,1.36308,0.60447,0.55128,0.57958,0.28247,1.80034,1.06349,1.85254,0.000204769,0.000204769,0.000204769
72,2340.7,1.32447,0.81469,1.33823,0.66556,0.56379,0.5764,0.28288,1.78541,1.03558,1.83046,0.000198166,0.000198166,0.000198166
73,2371.57,1.3205,0.82649,1.35598,0.52692,0.57152,0.56547,0.27657,1.8132,1.05498,1.87164,0.000191562,0.000191562,0.000191562
74,2403.2,1.3226,0.82926,1.36132,0.69018,0.56535,0.58484,0.28975,1.80027,1.04497,1.85069,0.000184959,0.000184959,0.000184959
75,2434.33,1.32064,0.81846,1.33906,0.70118,0.55143,0.59015,0.28851,1.78733,1.05217,1.84949,0.000178356,0.000178356,0.000178356
76,2465.64,1.31123,0.81537,1.34336,0.61497,0.5478,0.58189,0.28413,1.77706,1.03569,1.85041,0.000171752,0.000171752,0.000171752
77,2497.2,1.30014,0.7961,1.33714,0.57206,0.60589,0.59152,0.28726,1.79636,1.05693,1.85975,0.000165149,0.000165149,0.000165149
78,2528.38,1.30575,0.81118,1.3277,0.56054,0.58049,0.58171,0.28402,1.78826,1.04614,1.84069,0.000158546,0.000158546,0.000158546
79,2559.59,1.30361,0.80401,1.33279,0.62979,0.59627,0.61206,0.28945,1.81433,1.07207,1.88023,0.000151943,0.000151943,0.000151943
80,2590.71,1.295,0.80795,1.33562,0.65676,0.56054,0.58625,0.28382,1.81071,1.04527,1.86839,0.000145339,0.000145339,0.000145339
81,2621.95,1.29056,0.79183,1.32769,0.59348,0.61927,0.58615,0.28744,1.79501,1.03542,1.8594,0.000138736,0.000138736,0.000138736
82,2653.19,1.27305,0.78853,1.32211,0.55434,0.60912,0.59145,0.2809,1.81037,1.04383,1.89013,0.000132133,0.000132133,0.000132133
83,2684.16,1.25846,0.78137,1.31685,0.5644,0.59741,0.59393,0.28433,1.78969,1.04856,1.86064,0.000125529,0.000125529,0.000125529
84,2715.12,1.28734,0.78535,1.33043,0.56657,0.58154,0.58189,0.28241,1.81786,1.05652,1.88369,0.000118926,0.000118926,0.000118926
85,2746.38,1.27104,0.78374,1.32896,0.58066,0.59681,0.58561,0.28212,1.8113,1.04508,1.883,0.000112323,0.000112323,0.000112323
86,2777.5,1.28001,0.77213,1.318,0.70262,0.57716,0.592,0.28252,1.81118,1.04097,1.88298,0.00010572,0.00010572,0.00010572
